,Plant ID,Plant name (English),Country/Area,Capacity operating status,Start date,Nominal crude steel capacity (ttpa),Nominal BOF steel capacity (ttpa),Nominal EAF steel capacity (ttpa),Nominal OHF steel capacity (ttpa),Other/unspecified steel capacity (ttpa),Nominal iron capacity (ttpa),Nominal BF capacity (ttpa),Nominal DRI capacity (ttpa),Other/unspecified iron capacity (ttpa),Announced date,Construction date,Pre-retirement Announcement Date,Retired Date,BOF,EAF,OHF,Other steel,BF,DRI,Other iron,Steel row identifier,BF Unit Name,Unit Status,# of BF Units,Total BF Capacity (ttpa),BF Capacity (ttpa),BF Start Date,BF Retirement Date,BF Retirement Date (1 relining),BF Retirement Date (2 relinings),Custom calculated retirement,BF production fraction,Adjusted BF capacity,Adjusted EAF capacity,Adjusted BOF capacity,Adjusted OHF capacity,Adjusted other steel capacity,Adjusted crude steel capacity,Effective Retirement Date,Effective Start Date,Effective Retirement Date (1 relining),Effective Retirement Date (2 relinings)
99,P100000120094,Guangxi Shenglong Metallurgical Co Ltd,China,operating,2003.0,9783.0,9783.0,,,,10310.0,10310.0,,,,,,,True,False,False,False,True,False,False,0,BF New 4,operating,6.0,10310.0,2270.0,2022.0,2042.0,2057.0,2067.0,True,0.22017458777885549,2270.0,0.0,2153.967992240543,0.0,0.0,2153.967992240543,2042.0,2003.0,2057.0,2067.0
100,P100000120095,Guangxi Guigang Iron and Steel Group Co Ltd,China,operating pre-retirement,2003.0,,,,,,1660.0,1660.0,,,,,,,False,False,False,False,True,False,False,1,unknown BF (2),operating pre-retirement,2.0,1660.0,546.0,,2025.0,,,False,0.3289156626506024,546.0,0.0,0.0,0.0,0.0,0.0,2025.0,2003.0,,
101,P100000120095,Guangxi Guigang Iron and Steel Group Co Ltd,China,operating pre-retirement,2003.0,,,,,,1660.0,1660.0,,,,,,,False,False,False,False,True,False,False,1,unknown BF (3),operating pre-retirement,2.0,1660.0,1114.0,2011.0,2025.0,,,False,0.6710843373493975,1114.0,0.0,0.0,0.0,0.0,0.0,2025.0,2003.0,,
102,P100000120095,Guangxi Guigang Iron and Steel Group Co Ltd,China,operating,2003.0,1400.0,1400.0,,,,,,,,,,,,True,False,False,False,False,False,False,0,,,2.0,1660.0,,,,,,False,,,,1400.0,,,,,2003.0,,
103,P100000120096,Shougang Shuicheng Iron and Steel Group Co Ltd,China,operating,1966.0,3501.0,3501.0,,,,3300.0,3300.0,,,,,,,True,False,False,False,True,False,False,0,BF 3,operating,2.0,3300.0,927.0,2004.0,2038.0,,2048.0,True,0.2809090909090909,926.9999999999999,0.0,983.4627272727272,0.0,0.0,983.4627272727272,2038.0,1966.0,,2048.0
104,P100000120096,Shougang Shuicheng Iron and Steel Group Co Ltd,China,operating,1966.0,3501.0,3501.0,,,,3300.0,3300.0,,,,,,,True,False,False,False,True,False,False,0,BF 4,operating,2.0,3300.0,2373.0,2011.0,2038.0,,2048.0,True,0.7190909090909091,2373.0,0.0,2517.537272727273,0.0,0.0,2517.537272727273,2038.0,1966.0,,2048.0
105,P100000120099,Hebei Xinxing Ductile Iron Pipes Co Ltd,China,operating,1993.0,2500.0,2500.0,,,,1180.0,1180.0,,,,,,,True,False,False,False,True,False,False,0,BF 1,operating,1.0,1180.0,1180.0,2018.0,2037.0,,2047.0,True,1.0,1180.0,0.0,2500.0,0.0,0.0,2500.0,2037.0,1993.0,,2047.0
106,P100000120105,Chengde Iron and Steel Group Co Ltd,China,operating,1954.0,8000.0,8000.0,,,,8106.0,8106.0,,,,,,,True,False,False,False,True,False,False,0,BF 1,operating,4.0,8106.0,1150.0,2005.0,2037.0,,2047.0,True,0.14187021959042684,1150.0,0.0,1134.9617567234147,0.0,0.0,1134.9617567234147,2037.0,1954.0,,2047.0
107,P100000120105,Chengde Iron and Steel Group Co Ltd,China,operating,1954.0,8000.0,8000.0,,,,8106.0,8106.0,,,,,,,True,False,False,False,True,False,False,0,BF 3,operating,4.0,8106.0,2209.0,2009.0,2035.0,,2045.0,True,0.27251418702195906,2209.0,0.0,2180.1134961756725,0.0,0.0,2180.1134961756725,2035.0,1954.0,,2045.0
108,P100000120105,Chengde Iron and Steel Group Co Ltd,China,operating,1954.0,8000.0,8000.0,,,,8106.0,8106.0,,,,,,,True,False,False,False,True,False,False,0,BF 4,operating,4.0,8106.0,2010.0,2008.0,2035.0,,2045.0,True,0.24796447076239822,2010.0,0.0,1983.7157660991857,0.0,0.0,1983.7157660991857,2035.0,1954.0,,2045.0
109,P100000120105,Chengde Iron and Steel Group Co Ltd,China,operating,1954.0,8000.0,8000.0,,,,8106.0,8106.0,,,,,,,True,False,False,False,True,False,False,0,BF 5,operating,4.0,8106.0,2737.0,2006.0,2035.0,,2045.0,True,0.3376511226252159,2737.0,0.0,2701.2089810017274,0.0,0.0,2701.2089810017274,2035.0,1954.0,,2045.0
110,P100000120106,Shougang Jingtang United Iron and Steel Co Ltd,China,operating,2005.0,13700.0,13700.0,,,,13500.0,13500.0,,,,,,,True,False,False,False,True,False,False,0,BF 1,operating,3.0,13500.0,4500.0,2009.0,2037.0,,2047.0,True,0.3333333333333333,4500.0,0.0,4566.666666666666,0.0,0.0,4566.666666666666,2037.0,2005.0,,2047.0
111,P100000120106,Shougang Jingtang United Iron and Steel Co Ltd,China,operating,2005.0,13700.0,13700.0,,,,13500.0,13500.0,,,,,,,True,False,False,False,True,False,False,0,BF 2,operating,3.0,13500.0,4500.0,2010.0,2038.0,,2048.0,True,0.3333333333333333,4500.0,0.0,4566.666666666666,0.0,0.0,4566.666666666666,2038.0,2005.0,,2048.0
112,P100000120106,Shougang Jingtang United Iron and Steel Co Ltd,China,operating,2005.0,13700.0,13700.0,,,,13500.0,13500.0,,,,,,,True,False,False,False,True,False,False,0,BF 3,operating,3.0,13500.0,4500.0,2019.0,2039.0,2054.0,2064.0,True,0.3333333333333333,4500.0,0.0,4566.666666666666,0.0,0.0,4566.666666666666,2039.0,2005.0,2054.0,2064.0
113,P100000120107,Shougang Qian an Iron and Steel Co Ltd,China,operating,2002.0,6300.0,6300.0,,,,7850.0,7850.0,,,,,,,True,False,False,False,True,False,False,0,BF 1,operating,4.0,10075.0,2225.0,2004.0,2024.0,2039.0,2049.0,True,0.22084367245657568,1733.622828784119,0.0,1391.315136476427,0.0,0.0,1391.315136476427,2024.0,2002.0,2039.0,2049.0
114,P100000120107,Shougang Qian an Iron and Steel Co Ltd,China,operating,2002.0,6300.0,6300.0,,,,7850.0,7850.0,,,,,,,True,False,False,False,True,False,False,0,BF 2,operating,4.0,10075.0,2225.0,2007.0,2038.0,,2048.0,True,0.22084367245657568,1733.622828784119,0.0,1391.315136476427,0.0,0.0,1391.315136476427,2038.0,2002.0,,2048.0
115,P100000120107,Shougang Qian an Iron and Steel Co Ltd,China,operating,2002.0,6300.0,6300.0,,,,7850.0,7850.0,,,,,,,True,False,False,False,True,False,False,0,BF 2,operating,4.0,10075.0,2225.0,2007.0,2038.0,,2048.0,True,0.22084367245657568,1733.622828784119,0.0,1391.315136476427,0.0,0.0,1391.315136476427,2038.0,2002.0,,2048.0
116,P100000120107,Shougang Qian an Iron and Steel Co Ltd,China,operating,2002.0,6300.0,6300.0,,,,7850.0,7850.0,,,,,,,True,False,False,False,True,False,False,0,BF 3,operating,4.0,10075.0,3400.0,2010.0,2030.0,2045.0,2055.0,True,0.337468982630273,2649.131513647643,0.0,2126.05459057072,0.0,0.0,2126.05459057072,2030.0,2002.0,2045.0,2055.0
117,P100000120107,Shougang Qian an Iron and Steel Co Ltd,China,operating pre-retirement,2002.0,2000.0,2000.0,,,,,,,,,,,,True,False,False,False,False,False,False,1,,,4.0,10075.0,,,,2039.0,2049.0,True,,,,2000.0,,,,,2002.0,2039.0,2049.0
118,P100000120108,Tangshan Donghua Iron and Steel Enterprise Group Co Ltd,China,operating,2009.0,1600.0,1600.0,,,,4635.0,4635.0,,,,,,,True,False,False,False,True,False,False,0,unknown BF (1),operating,4.0,5965.0,1960.0,2021.0,2041.0,2056.0,2066.0,True,0.32858340318524726,1960.0,0.0,1412.9086336965631,0.0,0.0,1412.9086336965631,2041.0,2009.0,2056.0,2066.0
119,P100000120108,Tangshan Donghua Iron and Steel Enterprise Group Co Ltd,China,operating,2009.0,1600.0,1600.0,,,,4635.0,4635.0,,,,,,,True,False,False,False,True,False,False,0,unknown BF (3),operating,4.0,5965.0,1589.0,,,,,True,0.2663872590108969,1589.0,0.0,1145.4652137468565,0.0,0.0,1145.4652137468565,,2009.0,,
120,P100000120108,Tangshan Donghua Iron and Steel Enterprise Group Co Ltd,China,operating,2009.0,1600.0,1600.0,,,,4635.0,4635.0,,,,,,,True,False,False,False,True,False,False,0,unknown BF (4),operating,4.0,5965.0,1086.0,,,,,True,0.1820620284995809,1086.0,0.0,782.8667225481978,0.0,0.0,782.8667225481978,,2009.0,,
121,P100000120108,Tangshan Donghua Iron and Steel Enterprise Group Co Ltd,China,operating pre-retirement,2009.0,2700.0,2700.0,,,,1330.0,1330.0,,,,,,,True,False,False,False,True,False,False,1,BF 3,operating pre-retirement,4.0,5965.0,1330.0,,,,,True,0.22296730930427494,1330.0,0.0,958.7594300083822,0.0,0.0,958.7594300083822,,2009.0,,
122,P100000120109,Tangshan Ruifeng Iron and Steel Group Co Ltd,China,operating,2002.0,4500.0,4500.0,,,,4561.0,4561.0,,,,,,,True,False,False,False,True,False,False,0,BF 1,operating,4.0,4561.0,1135.0,2002.0,2037.0,,2047.0,True,0.2488489366367025,1135.0,0.0,1119.8202148651612,0.0,0.0,1119.8202148651612,2037.0,2002.0,,2047.0
123,P100000120109,Tangshan Ruifeng Iron and Steel Group Co Ltd,China,operating,2002.0,4500.0,4500.0,,,,4561.0,4561.0,,,,,,,True,False,False,False,True,False,False,0,BF 2,operating,4.0,4561.0,908.0,2002.0,2022.0,2037.0,2047.0,True,0.199079149309362,908.0,0.0,895.8561718921289,0.0,0.0,895.8561718921289,2022.0,2002.0,2037.0,2047.0
124,P100000120109,Tangshan Ruifeng Iron and Steel Group Co Ltd,China,operating,2002.0,4500.0,4500.0,,,,4561.0,4561.0,,,,,,,True,False,False,False,True,False,False,0,BF 3,operating,4.0,4561.0,908.0,2002.0,2022.0,2037.0,2047.0,True,0.199079149309362,908.0,0.0,895.8561718921289,0.0,0.0,895.8561718921289,2022.0,2002.0,2037.0,2047.0
125,P100000120109,Tangshan Ruifeng Iron and Steel Group Co Ltd,China,operating,2002.0,4500.0,4500.0,,,,4561.0,4561.0,,,,,,,True,False,False,False,True,False,False,0,unknown BF (1),operating,4.0,4561.0,1610.0,2021.0,2041.0,2056.0,2066.0,True,0.3529927647445736,1610.0000000000002,0.0,1588.467441350581,0.0,0.0,1588.467441350581,2041.0,2002.0,2056.0,2066.0
126,P100000120110,Qian an Jiujiang Wire Co Ltd,China,operating,2002.0,5729.0,4229.0,1500.0,,,8540.0,8540.0,,,,,,,True,True,False,False,True,False,False,0,BF 7,operating,8.0,8540.0,1150.0,2023.0,2043.0,2058.0,2068.0,True,0.13466042154566746,1150.0,201.99063231850118,569.4789227166277,0.0,0.0,771.4695550351289,2043.0,2002.0,2058.0,2068.0
127,P100000120110,Qian an Jiujiang Wire Co Ltd,China,operating,2002.0,5729.0,4229.0,1500.0,,,8540.0,8540.0,,,,,,,True,True,False,False,True,False,False,0,unknown BF (1),operating,8.0,8540.0,1040.0,,,,,True,0.12177985948477751,1040.0,182.66978922716626,515.007025761124,0.0,0.0,697.6768149882903,,2002.0,,
