index,Remaining BOF capacity,Remaining BOF capacity (2 relinings),Total BOF capacity additions,Total retired BOF capacity,Total BOF capacity additions (no retirement date),Total retired BOF capacity (no retirement date),Total retired BOF capacity (custom calculated retirement date),"Additional net BOF capacity (operating, 1 relining)","Additional net BOF capacity (operating, 2 relining)",5year BOF capacity additions,"5year BOF capacity additions (new, under construction)",Total BOF capacity additions (new projects),"Total net BOF capacity additions (new projects, announced only)",Total retired BOF capacity (new projects),"Total retired BOF capacity (new projects, 1 relining)","Total retired BOF capacity (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining, announced only)","Total net BOF capacity additions (new projects, 1 relining)","Total net BOF capacity additions (new projects, 1 relining, announced only)",Yearly BOF Capacity additions,Region
2025,1518789.8364398787,1471332.3852818303,1464609.5420789733,309543.3115386337,427910.12458769395,64186.51868815408,122281.41750902362,26316.218075768233,30408.40598480872,35789.13333333334,10694.761904761905,131339.6666666667,77865.85714285714,0.0,0.0,0.0,131339.6666666667,77865.85714285714,131339.6666666667,77865.85714285714,97156.66666666667,global
2026,1541866.0634164517,1467437.6046068436,1515487.5420789733,315949.57833267597,427910.12458769395,85582.02491753877,128687.68430306591,28273.210424208493,32365.39833324898,33264.86666666667,4960.0,182217.6666666667,106793.85714285714,0.0,0.0,0.0,182217.6666666667,106793.85714285714,182217.6666666667,106793.85714285714,50878.0,global
2027,1520287.5209605913,1430877.234545011,1547257.5420789733,347902.61455915164,427910.12458769395,106977.53114692346,155391.24729310058,39155.25914449649,47653.57072727703,33264.86666666667,4960.0,213987.6666666667,137063.85714285716,0.0,0.0,0.0,213987.6666666667,137063.85714285716,213987.6666666667,137063.85714285716,31770.0,global
2028,1478268.364024881,1395304.4020678955,1566157.5420789733,387426.2652654772,427910.12458769395,128373.03737630814,192214.89799942612,55908.27231125542,71649.89518587176,33264.86666666667,4960.0,232887.6666666667,154613.85714285716,0.0,0.0,0.0,232887.6666666667,154613.85714285716,232887.6666666667,154613.85714285716,18900.0,global
2029,1456356.5691694876,1368910.987130926,1599737.5420789733,421522.5538914859,427910.12458769395,149768.54360569283,226311.18662543484,77829.76793120007,100748.2751042956,33264.86666666667,4960.0,266467.6666666667,188193.85714285716,0.0,0.0,0.0,266467.6666666667,188193.85714285716,266467.6666666667,188193.85714285716,33580.0,global
2030,1400107.0954643448,1310555.3775957152,1630933.8754123065,487572.85470057715,427910.12458769395,171164.04983507752,269848.8047865804,103564.55798477594,129838.47260756085,33264.86666666667,4960.0,297664.0,219390.1904761905,0.0,0.0,0.0,297664.0,219390.1904761905,297664.0,219390.1904761905,31196.333333333332,global
2031,1331591.3918443553,1273529.5333133903,1630933.8754123065,534693.052091182,427910.12458769395,192559.5560644622,316969.0021771852,124726.04877213284,161328.33194522557,5400.0,0.0,297664.0,219390.1904761905,0.0,0.0,0.0,297664.0,219390.1904761905,297664.0,219390.1904761905,0.0,global
2032,1284314.7857119143,1235405.753786444,1657933.8754123065,587574.1519942383,427910.12458769395,213955.0622938469,369850.1020802415,155267.05009027114,197481.15855072017,5400.0,0.0,324664.0,246390.1904761905,0.0,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,27000.0,global
2033,1191617.226998275,1195857.747631163,1657933.8754123065,658876.204478493,427910.12458769395,235350.56852323157,438999.64911787305,186123.26949528066,250630.71110907872,5400.0,0.0,324664.0,246390.1904761905,0.0,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2034,1117544.085718748,1155944.094791167,1657933.8754123065,711553.8395286351,427910.12458769395,256746.07475261626,491677.2841680153,204071.62962347013,284790.1995486096,5400.0,0.0,324664.0,246390.1904761905,0.0,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2035,1041055.9871069896,1109485.2328523782,1657933.8754123065,766646.4319110088,427910.12458769395,278141.580982001,543477.4835234475,210266.02154869225,314819.4362215791,5400.0,0.0,324664.0,246390.1904761905,0.0,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2036,935827.9475953368,1053670.444934111,1657933.8754123065,850478.9651932769,427910.12458769395,299537.08721138566,627310.0168057156,232404.3887789398,364232.68781496485,0.0,0.0,324664.0,246390.1904761905,0.0,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2037,823198.7118862127,1005527.5459768458,1657933.8754123065,941712.6946730164,427910.12458769395,320932.59344077035,715044.7462854551,239062.67643515553,425519.02456682356,0.0,0.0,324664.0,244790.1904761905,1600.0,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2038,708556.1074883592,951562.3973830513,1657933.8754123065,1034959.7928414852,427910.12458769395,342328.09967015503,807927.1409363359,244161.61738647197,485467.0733357068,0.0,0.0,324664.0,244425.48695860256,1964.7035175879396,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2039,600088.9460806022,916755.6696182106,1657933.8754123065,1122031.4480198575,427910.12458769395,363723.6058995397,878099.7961147082,265535.37683104846,530478.5069786231,0.0,0.0,324664.0,232675.48695860256,18863.70351758794,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2040,526555.3295413197,888233.1818760232,1657933.8754123065,1174169.5583297554,427910.12458769395,385119.1121289244,922337.906424606,290568.83575794037,567289.6357757183,0.0,0.0,324664.0,231075.48695860256,25463.70351758794,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2041,450675.83393201337,867110.9522410108,1657933.8754123065,1228653.5477096771,427910.12458769395,406514.6183583091,964820.2506598476,331094.1876447417,599443.6114606522,0.0,0.0,324664.0,220473.84181392248,37465.34866226802,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
2042,357490.26576144324,843485.3540576033,1657933.8754123065,1300443.6096508626,427910.12458769395,427910.1245876938,1023333.9792676998,378725.86753230577,649900.5814478146,0.0,0.0,324664.0,214647.17514725582,50741.68199560136,0.0,0.0,324664.0,246390.1904761905,324664.0,246390.1904761905,0.0,global
