Historic Time,Region,value
1931,OAS,326439.2620953707
1931,REF,13334005.451613355
1931,SSA,596554.1246084232
1931,USA,15522641.141663767
1932,CAZ,1454558.823529412
1932,CHA,1462500.0
1932,EUR,16812627.49226507
1932,IND,578558.8235294118
1932,JPN,7249941.176470589
1932,LAM,1073117.6470588236
1932,MEA,56470.588235294126
1932,NEU,313209.81440704624
1932,OAS,237794.11764705885
1932,REF,9713133.281563176
1932,SSA,434558.82352941175
1932,USA,11307441.176470589
1933,CAZ,1950887.5739644968
1933,CHA,1961538.4615384615
1933,EUR,22549480.660237174
1933,IND,775976.3313609468
1933,JPN,9723786.98224852
1933,LAM,1439289.9408284023
1933,MEA,75739.6449704142
1933,NEU,420084.1692244407
1933,OAS,318934.91124260356
1933,REF,13027476.590656724
1933,SSA,582840.2366863906
1933,USA,15165798.816568047
1934,CAZ,2364016.7072746255
1934,CHA,2376923.076923077
1934,EUR,27324664.800052106
1934,IND,940300.7309432648
1934,JPN,11782941.87260703
1934,LAM,1744080.7518273583
1934,MEA,91778.6286112078
1934,NEU,509043.16976608697
1934,OAS,386474.06891750783
1934,REF,15786236.339266384
1934,SSA,706265.227984685
1934,USA,18377379.742429517
1935,CAZ,2854607.5530804037
1935,CHA,2870192.307692308
1935,EUR,32995195.966082342
1935,IND,1135435.9554472677
1935,JPN,14228188.304907763
1935,LAM,2106019.8398886183
1935,MEA,110824.9216846502
1935,NEU,614681.982909292
1935,OAS,466676.81865645666
1935,REF,19062263.540740356
1935,SSA,852832.4051514097
1935,USA,22191132.09189001
1936,CAZ,3566107.7271145144
1936,CHA,3585576.9230769235
1936,EUR,41219124.20687472
1936,IND,1418439.08806126
1936,JPN,17774510.616080754
1936,LAM,2630937.347720153
1936,MEA,138447.6157326836
1936,NEU,767889.1505087939
1936,OAS,582994.2568743473
1936,REF,23813460.8855681
1936,SSA,1065397.6679429167
1936,USA,27722188.13087365
1937,CAZ,3893168.290985033
1937,CHA,3914423.076923077
1937,EUR,44999478.317561544
1937,IND,1548529.2377305953
1937,JPN,19404674.90428124
1937,LAM,2872230.0730943265
1937,MEA,151145.14444831188
1937,NEU,838315.0259375972
1937,OAS,636462.7567003133
1937,REF,25997479.019884083
1937,SSA,1163109.1193873999
1937,USA,30264689.697180647
1938,CAZ,3155847.5461190394
1938,CHA,3173076.923076923
1938,EUR,36477101.06803073
1938,IND,1255255.830142708
1938,JPN,15729655.412460843
1938,LAM,2328263.139575357
1938,MEA,122520.01392272886
1938,NEU,679547.9208042424
1938,OAS,515924.12112774106
1938,REF,21073859.190768234
1938,SSA,942829.7946397495
1938,USA,24532909.850330666
1939,CAZ,3933333.6233901842
1939,CHA,3954807.692307692
1939,EUR,45463732.33115466
1939,IND,1564505.2210233205
1939,JPN,19604870.51862165
1939,LAM,2901862.513052558
1939,MEA,152704.4900800557
1939,NEU,846963.8176569238
1939,OAS,643029.0636964845
1939,REF,26265691.773221135
1939,SSA,1175108.7713191784
1939,USA,30576926.7316394
1940,CAZ,4033746.9544030633
1940,CHA,4055769.230769231
1940,EUR,46624367.36513746
1940,IND,1604445.179255134
1940,JPN,20105359.554472677
1940,LAM,2975943.6129481383
1940,MEA,156602.85415941526
1940,NEU,868585.7969552407
1940,OAS,659444.8311869126
1940,REF,26936223.65656376
1940,SSA,1205107.9011486252
1940,USA,31357519.317786288
1941,CAZ,4412448.659937348
1941,CHA,4436538.461538462
1941,EUR,51001619.493301146
1941,IND,1755075.878872259
1941,JPN,21992918.20396798
1941,LAM,3255335.189697181
1941,MEA,171305.25583014273
1941,NEU,950131.5474517498
1941,OAS,721355.7257222417
1941,REF,29465086.75945595
1941,SSA,1318247.4765053953
1941,USA,34301468.49982597
1942,CAZ,4343593.804385659
1942,CHA,4367307.692307692
1942,EUR,50205755.46999866
1942,IND,1727688.4789418725
1942,JPN,21649725.722241558
1942,LAM,3204536.7211973546
1942,MEA,168632.09189001043
1942,NEU,935305.0473614754
1942,OAS,710099.1994430907
1942,REF,29005293.468021
1942,SSA,1297676.644622346
1942,USA,33766205.012182385
1943,CAZ,4578847.894187261
1943,CHA,4603846.153846154
1943,EUR,52924957.549615495
1943,IND,1821262.095370693
1943,JPN,22822300.034806825
1943,LAM,3378098.155238427
1943,MEA,177765.4020187957
1943,NEU,985962.2560032462
1943,OAS,748558.9975635225
1943,REF,30576253.88042373
1943,SSA,1367960.3202227638
1943,USA,35595021.92829795
1944,CAZ,4337855.8997563515
1944,CHA,4361538.461538461
1944,EUR,50139433.468056776
1944,IND,1725406.1956143402
1944,JPN,21621126.348764356
1944,LAM,3200303.5154890358
1944,MEA,168409.32822833274
1944,NEU,934069.5056872858
1944,OAS,709161.1555864948
1944,REF,28966977.36040142
1944,SSA,1295962.4086320917
1944,USA,33721599.72154542
1945,CAZ,3244785.067873303
1945,CHA,3262500.0
1945,EUR,37505092.09812978
1945,IND,1290631.221719457
1945,JPN,16172945.701357465
1945,LAM,2393877.828054298
1945,MEA,125972.85067873303
1945,NEU,698698.8167541801
1945,OAS,530463.8009049774
1945,REF,21667758.858871702
1945,SSA,969400.4524886877
1945,USA,25224291.855203617
1946,CAZ,3201750.7831534976
1946,CHA,3219230.769230769
1946,EUR,37007677.08356572
1946,IND,1273514.0967629654
1946,JPN,15958450.400278455
1946,LAM,2362128.785241907
1946,MEA,124302.12321615036
1946,NEU,689432.2541977586
1946,OAS,523428.4719805082
1946,REF,21380388.051724862
1946,SSA,956543.6825617821
1946,USA,24889752.175426383
1947,CAZ,3901775.1479289937
1947,CHA,3923076.923076923
1947,EUR,45098961.32047435
1947,IND,1551952.6627218935
1947,JPN,19447573.96449704
1947,LAM,2878579.8816568046
1947,MEA,151479.2899408284
1947,NEU,840168.3384488814
1947,OAS,637869.8224852071
1947,REF,26054953.181313448
1947,SSA,1165680.4733727812
1947,USA,30331597.633136094
1948,CAZ,4455482.944657153
1948,CHA,4479807.692307693
1948,EUR,51499034.507865205
1948,IND,1772193.0038287507
1948,JPN,22207413.50504699
1948,LAM,3287084.232509572
1948,MEA,172975.98329272537
1948,NEU,959398.1100081713
1948,OAS,728391.0546467109
1948,REF,29752457.56660279
1948,SSA,1331104.2464323007
1948,USA,34636008.179603204
1949,CAZ,4590323.703445875
1949,CHA,4615384.615384615
1949,EUR,53057601.55349924
1949,IND,1825826.662025757
1949,JPN,22879498.781761225
1949,LAM,3386564.566655064
1949,MEA,178210.92934215107
1949,NEU,988433.3393516252
1949,OAS,750435.0852767142
1949,REF,30652886.09566288
1949,SSA,1371388.7922032718
1949,USA,35684232.50957187
1950,CAZ,5496912.634876436
1950,CHA,5526923.076923077
1950,EUR,63536477.86031533
1950,IND,2186427.427775844
1950,JPN,27398199.791159067
1950,LAM,4055411.0685694395
1950,MEA,213407.58788722588
1950,NEU,1183648.9238735712
1950,OAS,898646.0146188653
1950,REF,36706831.0995563
1950,SSA,1642238.078663418
1950,USA,42731868.43021232
1951,CAZ,6056358.336233902
1951,CHA,6089423.076923077
1951,EUR,70002873.04964805
1951,IND,2408950.052210233
1951,JPN,30186638.705186214
1951,LAM,4468148.625130526
1951,MEA,235127.0449008005
1951,NEU,1304114.2371070506
1951,OAS,990105.2906369648
1951,REF,40442651.592465214
1951,SSA,1809376.0877131918
1951,USA,47080884.26731639
1952,CAZ,6070703.09780717
1952,CHA,6103846.153846154
1952,EUR,70168678.05450274
1952,IND,2414655.7605290636
1952,JPN,30258137.138879217
1952,LAM,4478731.639401322
1952,MEA,235683.95405499474
1952,NEU,1307203.0912925242
1952,OAS,992450.4002784544
1952,REF,40538441.86151416
1952,SSA,1813661.677688827
1952,USA,47192397.4939088
1953,CAZ,6736300.0348068215
1953,CHA,6773076.923076922
1953,EUR,77862030.27976014
1953,IND,2679400.6265227986
1953,JPN,33575664.462234594
1953,LAM,4969783.501566307
1953,MEA,261524.5388096067
1953,NEU,1450525.92549851
1953,OAS,1101263.487643578
1953,REF,44983110.34538528
1953,SSA,2012513.0525583015
1953,USA,52366611.20779673
1954,CAZ,6420715.280194919
1954,CHA,6455769.230769231
1954,EUR,74214320.17295706
1954,IND,2553875.043508528
1954,JPN,32002698.920988515
1954,LAM,4736957.187608772
1954,MEA,249272.5374173338
1954,NEU,1382571.133418086
1954,OAS,1049671.075530804
1954,REF,42875724.42630846
1954,SSA,1918230.0730943265
1954,USA,49913320.222763665
1955,CAZ,7746171.249564914
1955,CHA,7788461.538461539
1955,EUR,89534702.62152997
1955,IND,3081082.492168465
1955,JPN,38609154.19422207
1955,LAM,5714827.706230422
1955,MEA,300730.9432648799
1955,NEU,1667981.2601558678
1955,OAS,1266359.2064044552
1955,REF,51726745.28643112
1955,SSA,2314218.586843021
1955,USA,60217142.359902546
1956,CAZ,8133479.812043161
1956,CHA,8177884.615384616
1956,EUR,94011437.75260647
1956,IND,3235136.6167768883
1956,JPN,40539611.90393317
1956,LAM,6000569.091541942
1956,MEA,315767.4904281239
1956,NEU,1751380.323163661
1956,OAS,1329677.166724678
1956,REF,54313082.55075267
1956,SSA,2429929.5161851724
1956,USA,63227999.47789767
1957,CAZ,8391685.52036199
1957,CHA,8437500.0
1957,EUR,96995927.8399908
1957,IND,3337839.3665158367
1957,JPN,41826583.710407235
1957,LAM,6191063.348416289
1957,MEA,325791.85520361987
1957,NEU,1806979.69850219
1957,OAS,1371889.1402714932
1957,REF,56037307.39363371
1957,SSA,2507070.135746606
1957,USA,65235237.55656108
1958,CAZ,7869536.199095023
1958,CHA,7912500.000000001
1958,EUR,90960625.66328026
1958,IND,3130151.5837104074
1958,JPN,39224040.7239819
1958,LAM,5805841.628959276
1958,MEA,305520.36199095024
1958,NEU,1694545.4061509427
1958,OAS,1286527.1493212671
1958,REF,52550541.60025206
1958,SSA,2351074.6606334844
1958,USA,61176156.108597286
1959,CAZ,8770387.225896275
1959,CHA,8818269.23076923
1959,EUR,101373179.96815448
1959,IND,3488470.066132962
1959,JPN,43714142.35990254
1959,LAM,6470454.925165332
1959,MEA,340494.25687434734
1959,NEU,1888525.448998699
1959,OAS,1433800.034806822
1959,REF,58566170.49652589
1959,SSA,2620209.711103376
1959,USA,68179186.73860076
1960,CAZ,9938050.81796032
1960,CHA,9992307.69230769
1960,EUR,114869707.36332585
1960,IND,3952914.7232857635
1960,JPN,49534114.86251305
1960,LAM,7331912.286808214
1960,MEA,385826.662025757
1960,NEU,2139958.1796962684
1960,OAS,1624691.959624086
1960,REF,66363498.39711014
1960,SSA,2969056.735120083
1960,USA,77256363.3832231
1961,CAZ,10078629.48137835
1961,CHA,10133653.846153846
1961,EUR,116494596.41090177
1961,IND,4008830.664810303
1961,JPN,50234799.51270449
1961,LAM,7435625.826662026
1961,MEA,391284.3717368604
1961,NEU,2170228.950713912
1961,OAS,1647674.0341106858
1961,REF,67302243.03378981
1961,SSA,3011055.516881309
1961,USA,78349193.00382875
1962,CAZ,10331097.285067873
1962,CHA,10387500.0
1962,EUR,119412764.49634422
1962,IND,4109251.1312217196
1962,JPN,51493171.94570135
1962,LAM,7621886.877828054
1962,MEA,401085.9728506787
1962,NEU,2224592.7843782515
1962,OAS,1688947.9638009048
1962,REF,68988151.76905127
1962,SSA,3086481.9004524886
1962,USA,80311825.7918552
1963,CAZ,11105714.410024364
1963,CHA,11166346.153846154
1963,EUR,128366234.75849721
1963,IND,4417359.380438565
1963,JPN,55354087.36512356
1963,LAM,8193369.648451095
1963,MEA,431159.0671771667
1963,NEU,2391390.910393838
1963,OAS,1815583.8844413504
1963,REF,74160826.29769439
1963,SSA,3317903.7591367904
1963,USA,86333540.02784546
1964,CAZ,12434039.331709016
1964,CHA,12501923.076923078
1964,EUR,143719778.20804107
1964,IND,4945707.97076227
1964,JPN,61974842.32509572
1964,LAM,9173356.769926906
1964,MEA,482728.85485555173
1964,NEU,2677418.807968715
1964,OAS,2032741.0372432997
1964,REF,83031005.21162684
1964,SSA,3714749.3908806127
1964,USA,96659664.81030282
1965,CAZ,13025043.50852767
1965,CHA,13096153.846153846
1965,EUR,150550944.40805408
1965,IND,5180783.153498085
1965,JPN,64920577.793247476
1965,LAM,9609376.957883745
1965,MEA,505673.5120083536
1965,NEU,2804679.6004102365
1965,OAS,2129359.5544726765
1965,REF,86977564.29644343
1965,SSA,3891315.697876784
1965,USA,101254009.7459102
1966,CAZ,13561537.591367908
1966,CHA,13635576.923076924
1966,EUR,156752051.5896193
1966,IND,5394176.644622346
1966,JPN,67594619.21336582
1966,LAM,10005181.691611556
1966,MEA,526501.9143752175
1966,NEU,2920202.746946958
1966,OAS,2217066.655064393
1966,REF,90560120.35887404
1966,SSA,4051596.7629655413
1966,USA,105424604.42046641
1967,CAZ,14264430.908458058
1967,CHA,14342307.692307694
1967,EUR,164876496.82749888
1967,IND,5673756.35224504
1967,JPN,71098042.46432301
1967,LAM,10523749.390880613
1967,MEA,553790.4629307344
1967,NEU,3071556.6020351755
1967,OAS,2331977.0274973894
1967,REF,95253843.5422724
1967,SSA,4261590.671771667
1967,USA,110888752.5234946
1968,CAZ,15199709.363035154
1968,CHA,15282692.307692304
1968,EUR,175686983.1440243
1968,IND,6045768.534632787
1968,JPN,75759740.34110685
1968,LAM,11213761.92133658
1968,MEA,590100.9397841976
1968,NEU,3272949.894928069
1968,OAS,2484878.1761225197
1968,REF,101499369.08426371
1968,SSA,4541011.138183082
1968,USA,118159414.89731985
1969,CAZ,16485000.0
1969,CHA,16575000.0
1969,EUR,190543111.57900414
1969,IND,6557000.0
