index,Remaining BOF capacity,Remaining BOF capacity (2 relinings),Total BOF capacity additions,Total retired BOF capacity,Total BOF capacity additions (no retirement date),Total retired BOF capacity (no retirement date),Total retired BOF capacity (custom calculated retirement date),"Additional net BOF capacity (operating, 1 relining)","Additional net BOF capacity (operating, 2 relining)",5year BOF capacity additions,Total BOF capacity additions (new projects),"Total net BOF capacity additions (new projects, announced only)",Total retired BOF capacity (new projects),"Total retired BOF capacity (new projects, 1 relining)","Total retired BOF capacity (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining)","Total net BOF capacity additions (new projects, 2 relining, announced only)","Total net BOF capacity additions (new projects, 1 relining)","Total net BOF capacity additions (new projects, 1 relining, announced only)",Region,Additional cumulative capacity to meet gov target
2048,71254.22507405347,765270.1194112687,1781222.6905120932,1709968.4654380395,252284.0532656842,252284.05326568417,1085195.8109017662,258660.65287602518,450511.2444112694,0.0,312087.0,67962.35007405412,243504.64992594585,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2049,64254.225074053466,751722.2762550523,1781222.6905120932,1716968.4654380395,252284.0532656842,252284.05326568417,1085195.8109017662,240718.47171502025,436963.401255053,0.0,312087.0,60962.35007405412,250504.64992594585,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2050,23999.999999999338,737326.809921776,1781222.6905120932,1757222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,234023.38931360765,425239.8099217765,0.0,312087.0,24000.0,288087.0,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2051,23999.999999999338,733236.7972657878,1781222.6905120932,1757222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,211958.23787182762,421149.7972657884,0.0,312087.0,24000.0,288087.0,0.0,0.0,312087.0,218312.83091555384,312087.0,218312.83091555384,global,105850.32990081451
2052,19499.999999999338,724437.6201916202,1781222.6905120932,1761722.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,199258.23787182762,412350.6201916208,0.0,312087.0,19500.0,292587.0,1600.0,0.0,312087.0,218312.83091555384,310487.0,216712.83091555384,global,105850.32990081451
2053,19499.999999999338,705925.7397712113,1781222.6905120932,1761722.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,186844.9045384943,393838.739771212,0.0,312087.0,19500.0,292587.0,1964.4618284637136,0.0,312087.0,218312.83091555384,310122.5381715363,216348.36908709013,global,105850.32990081451
2054,19499.999999999338,690340.0875885568,1781222.6905120932,1761722.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,162782.54487442592,378253.0875885574,0.0,312087.0,19500.0,292587.0,16264.461828463714,0.0,312087.0,218312.83091555384,295822.5381715363,204098.36908709013,global,105850.32990081451
2055,12499.999999999338,659924.4149044948,1781222.6905120932,1768722.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,132075.15036367852,347837.4149044954,0.0,312087.0,12500.0,299587.0,19214.461828463714,0.0,312087.0,218312.83091555384,292872.5381715363,201148.36908709013,global,105850.32990081451
2056,-6.621121428906918e-10,639784.5903391582,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,88976.46062155208,327697.5903391589,0.0,312087.0,0.0,312087.0,38506.480841499724,0.0,312087.0,218312.83091555384,273580.51915850025,185881.35007405412,global,105850.32990081451
2057,-6.621121428906918e-10,609628.6826501654,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,27486.933835821575,297541.68265016604,0.0,312087.0,0.0,312087.0,51006.480841499724,0.0,312087.0,218312.83091555384,261080.51915850028,182281.35007405412,global,105850.32990081451
2058,-6.621121428906918e-10,570747.6528760244,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,258660.652876025,0.0,312087.0,0.0,312087.0,84287.18518039101,0.0,312087.0,218312.83091555384,227799.814819609,170941.35007405412,global,105850.32990081451
2059,-6.621121428906918e-10,552805.4717150194,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,240718.47171502007,0.0,312087.0,0.0,312087.0,137877.507068803,0.0,312087.0,218312.83091555384,174209.492931197,152127.35007405412,global,105850.32990081451
2060,-6.621121428906918e-10,546110.3893136068,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,234023.38931360748,0.0,312087.0,0.0,312087.0,191314.64992594585,0.0,312087.0,218312.83091555384,120772.35007405415,114427.35007405412,global,84680.2639206516
2061,-6.621121428906918e-10,524045.23787182674,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,211958.23787182744,0.0,312087.0,0.0,312087.0,218354.64992594585,0.0,312087.0,218312.83091555384,93732.35007405415,93112.35007405412,global,63510.19794048871
2062,-6.621121428906918e-10,509745.23787182674,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,199258.23787182744,0.0,312087.0,0.0,312087.0,219504.64992594585,1600.0,310487.0,216712.83091555384,92582.35007405415,91962.35007405412,global,42340.13196032581
2063,-6.621121428906918e-10,496967.44271002966,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,186844.90453849407,0.0,312087.0,0.0,312087.0,243504.64992594585,1964.4618284637136,310122.5381715363,216348.36908709013,68582.35007405415,67962.35007405412,global,21170.065980162908
2064,-6.621121428906918e-10,458605.08304596134,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,162782.54487442574,0.0,312087.0,0.0,312087.0,250504.64992594585,16264.461828463714,295822.5381715363,204098.36908709013,61582.35007405415,60962.35007405412,global,0.0
2065,-6.621121428906918e-10,424947.68853521394,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,132075.15036367835,0.0,312087.0,0.0,312087.0,288087.0,19214.461828463714,292872.5381715363,201148.36908709013,24000.0,24000.0,global,0.0
2066,-6.621121428906918e-10,362556.9797800515,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,88976.46062155196,0.0,312087.0,0.0,312087.0,288087.0,38506.480841499724,273580.51915850025,185881.35007405412,24000.0,24000.0,global,0.0
2067,-6.621121428906918e-10,288567.45299432107,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,27486.93383582146,0.0,312087.0,0.0,312087.0,292587.0,51006.480841499724,261080.51915850028,182281.35007405412,19500.0,19500.0,global,0.0
2068,-6.621121428906918e-10,227799.8148196082,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,292587.0,84287.18518039101,227799.814819609,170941.35007405412,19500.0,19500.0,global,0.0
2069,-6.621121428906918e-10,174209.4929311962,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,292587.0,137877.507068803,174209.492931197,152127.35007405412,19500.0,19500.0,global,0.0
2070,-6.621121428906918e-10,120772.35007405336,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,299587.0,191314.64992594585,120772.35007405415,114427.35007405412,12500.0,12500.0,global,0.0
2071,-6.621121428906918e-10,93732.35007405336,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,312087.0,218354.64992594585,93732.35007405415,93112.35007405412,0.0,0.0,global,0.0
2072,-6.621121428906918e-10,92582.35007405336,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,312087.0,219504.64992594585,92582.35007405415,91962.35007405412,0.0,0.0,global,0.0
2073,-6.621121428906918e-10,68582.35007405336,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,312087.0,243504.64992594585,68582.35007405415,67962.35007405412,0.0,0.0,global,0.0
2074,-6.621121428906918e-10,61582.35007405337,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,312087.0,250504.64992594585,61582.35007405415,60962.35007405412,0.0,0.0,global,0.0
2075,-6.621121428906918e-10,23999.99999999922,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,312087.0,288087.0,24000.0,24000.0,0.0,0.0,global,0.0
2076,-6.621121428906918e-10,23999.99999999922,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,312087.0,288087.0,24000.0,24000.0,0.0,0.0,global,0.0
2077,-6.621121428906918e-10,19499.99999999922,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,312087.0,292587.0,19500.0,19500.0,0.0,0.0,global,0.0
2078,-6.621121428906918e-10,19499.99999999922,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,312087.0,292587.0,19500.0,19500.0,0.0,0.0,global,0.0
2079,-6.621121428906918e-10,19499.99999999922,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,312087.0,292587.0,19500.0,19500.0,0.0,0.0,global,0.0
2080,-6.621121428906918e-10,12499.999999999221,1781222.6905120932,1781222.6905120937,252284.0532656842,252284.05326568417,1087867.6859017662,0.0,-1.1641532182693481e-10,0.0,312087.0,0.0,312087.0,312087.0,299587.0,12500.0,12500.0,0.0,0.0,global,0.0
